Dyad,Individual1,Individual2,PopID1&2,TrioML,Wang,LynchLi,LynchRd,Ritland,QuelletGt,DyadML,ind1_num,ind2_num,lo,hi,canon_pair,Distance_m,IN_ind_id,NEAR_ind_id,IN_sponge_id,NEAR_sponge_id,ind_id_Pair,sponge_id_Pair
130,golden-42,long-206,golo,0,-0.0447,0,-0.0481,-0.0489,-0.0738,0,42,206,42,206,42_206,4964.771955,42,206,GOL_13,LON_07,42_206,GOL_13_LON_07
313,golden-59,grunt-128,gogr,0,-0.0449,0,-0.0309,-0.032,-0.0218,0,59,128,59,128,59_128,64.1138972,59,128,GOL_22,GRU_12,59_128,GOL_22_GRU_12
55,golden-114,golden-86,gogo,0,-0.0452,0,-0.0537,-0.0543,-0.0589,0,114,86,86,114,86_114,107.9691537,86,114,GOL_41,GOL_46,86_114,GOL_41_GOL_46
112,golden-42,golden-73,gogo,0,-0.0458,0,-0.0231,-0.0242,-0.0399,0,42,73,42,73,42_73,12.89081165,42,73,GOL_13,GOL_33,42_73,GOL_13_GOL_33
441,golden-73,grunt-180,gogr,0,-0.0461,0,-0.023,-0.024,-0.0191,0,73,180,73,180,73_180,54.39458612,73,180,GOL_33,GRU_27,73_180,GOL_33_GRU_27
110,golden-42,golden-65,gogo,0,-0.0464,0,-0.0082,-0.0087,-0.0226,0,42,65,42,65,42_65,77.0082714,42,65,GOL_13,GOL_26,42_65,GOL_13_GOL_26
569,grunt-125,grunt-133,grgr,0,-0.0465,0,-0.0414,-0.0425,-0.0464,0,125,133,125,133,125_133,22.62738526,125,133,GRU_11,GRU_14,125_133,GRU_11_GRU_14
146,golden-44,golden-82,gogo,0,-0.0468,0,-0.067,-0.0668,-0.0697,0,44,82,44,82,44_82,0,44,82,GOL_13,GOL_37,44_82,GOL_13_GOL_37
496,golden-82,grunt-124,gogr,0,-0.0473,0,-0.0341,-0.0352,-0.0426,0,82,124,82,124,82_124,48.53845138,82,124,GOL_37,GRU_11,82_124,GOL_37_GRU_11
452,golden-74,grunt-125,gogr,0,-0.0475,0,-0.0316,-0.0327,-0.0342,0,74,125,74,125,74_125,55.35305509,74,125,GOL_33,GRU_11,74_125,GOL_33_GRU_11
376,golden-63,grunt-104,gogr,0,-0.0476,0,-0.0254,-0.0266,-0.0393,0,63,104,63,104,63_104,59.03338953,63,104,GOL_25,GRU_08,63_104,GOL_25_GRU_08
306,golden-59,golden-84,gogo,0,-0.0484,0,-0.0336,-0.0347,-0.0269,0,59,84,59,84,59_84,89.76475105,59,84,GOL_22,GOL_39,59_84,GOL_22_GOL_39
581,grunt-133,grunt-137,grgr,0,-0.0487,0,-0.0773,-0.0766,-0.0816,0,133,137,133,137,133_137,1.626224355,133,137,GRU_14,GRU_15,133_137,GRU_14_GRU_15
416,golden-69,grunt-124,gogr,0,-0.0491,0,-0.0187,-0.0198,-0.02,0,69,124,69,124,69_124,89.67661862,69,124,GOL_29,GRU_11,69_124,GOL_29_GRU_11
468,golden-80,grunt-125,gogr,0,-0.0492,0,-0.0571,-0.0578,-0.0559,0,80,125,80,125,80_125,52.88430628,80,125,GOL_36,GRU_11,80_125,GOL_36_GRU_11
483,golden-81,grunt-125,gogr,0,-0.0493,0,-0.0636,-0.0639,-0.0683,0,81,125,81,125,81_125,48.53845138,81,125,GOL_37,GRU_11,81_125,GOL_37_GRU_11
85,golden-32,golden-82,gogo,0,-0.0495,0,-0.0589,-0.0593,-0.0642,0,32,82,32,82,32_82,10.49360392,32,82,GOL_11,GOL_37,32_82,GOL_11_GOL_37
176,golden-52,golden-84,gogo,0,-0.0496,0,-0.0996,-0.0971,-0.1015,0,52,84,52,84,52_84,101.4094324,52,84,GOL_18,GOL_39,52_84,GOL_18_GOL_39
549,grunt-103,grunt-180,grgr,0,-0.0499,0,-0.0295,-0.0307,-0.012,0,103,180,103,180,103_180,9.424192308,103,180,GRU_07,GRU_27,103_180,GRU_07_GRU_27
509,golden-84,grunt-124,gogr,0,-0.0501,0,-0.0374,-0.0387,-0.0377,0,84,124,84,124,84_124,81.91376578,84,124,GOL_39,GRU_11,84_124,GOL_39_GRU_11
438,golden-73,grunt-137,gogr,0,-0.0505,0,-0.0492,-0.05,-0.0513,0,73,137,73,137,73_137,79.51606383,73,137,GOL_33,GRU_15,73_137,GOL_33_GRU_15
492,golden-82,golden-86,gogo,0,-0.0505,0,-0.053,-0.0537,-0.0685,0,82,86,82,86,82_86,97.88505471,82,86,GOL_37,GOL_41,82_86,GOL_37_GOL_41
276,golden-56,golden-69,gogo,0,-0.0511,0,-0.0361,-0.0376,-0.0266,0,56,69,56,69,56_69,112.1994872,56,69,GOL_19,GOL_29,56_69,GOL_19_GOL_29
168,golden-52,golden-63,gogo,0,-0.0513,0,-0.0631,-0.0636,-0.0904,0,52,63,52,63,52_63,71.3232827,52,63,GOL_18,GOL_25,52_63,GOL_18_GOL_25
472,golden-80,grunt-156,gogr,0,-0.0514,0,-0.0776,-0.0772,-0.0852,0,80,156,80,156,80_156,65.9666162,80,156,GOL_36,GRU_18,80_156,GOL_36_GRU_18
283,golden-56,golden-86,gogo,0,-0.0515,0,-0.0307,-0.032,-0.04,0,56,86,56,86,56_86,117.3430288,56,86,GOL_19,GOL_41,56_86,GOL_19_GOL_41
576,grunt-128,grunt-137,grgr,0,-0.0515,0,-0.0778,-0.0773,-0.067,0,128,137,128,137,128_137,9.101915344,128,137,GRU_12,GRU_15,128_137,GRU_12_GRU_15
368,golden-63,golden-74,gogo,0,-0.0517,0,-0.0324,-0.0337,-0.0482,0,63,74,63,74,63_74,68.26256818,63,74,GOL_25,GOL_33,63_74,GOL_25_GOL_33
591,grunt-156,grunt-180,grgr,0,-0.0522,0,-0.0453,-0.0467,-0.0366,0,156,180,156,180,156_180,24.68775988,156,180,GRU_18,GRU_27,156_180,GRU_18_GRU_27
384,golden-63,grunt-180,gogr,0,-0.0528,0,-0.0163,-0.0172,-0.0261,0,63,180,63,180,63_180,67.3085523,63,180,GOL_25,GRU_27,63_180,GOL_25_GRU_27
563,grunt-124,grunt-137,grgr,0,-0.0533,0,-0.0354,-0.0367,-0.0412,0,124,137,124,137,124_137,24.20826625,124,137,GRU_11,GRU_15,124_137,GRU_11_GRU_15
330,golden-60,golden-86,gogo,0,-0.0536,0,-0.0781,-0.0779,-0.0907,0,60,86,60,86,60_86,48.45656489,60,86,GOL_23,GOL_41,60_86,GOL_23_GOL_41
166,golden-52,golden-60,gogo,0,-0.0551,0,-0.1288,-0.123,-0.1414,0,52,60,52,60,52_60,68.09837716,52,60,GOL_18,GOL_23,52_60,GOL_18_GOL_23
219,golden-55,golden-56,gogo,0,-0.056,0,-0.0693,-0.0698,-0.0683,0,55,56,55,56,55_56,0,55,56,GOL_19,GOL_19,55_56,GOL_19_GOL_19
519,golden-86,grunt-103,gogr,0,-0.056,0,-0.0483,-0.0496,-0.0524,0,86,103,86,103,86_103,88.05517823,86,103,GOL_41,GRU_07,86_103,GOL_41_GRU_07
323,golden-60,golden-69,gogo,0,-0.0563,0,-0.0802,-0.0798,-0.0802,0,60,69,60,69,60_69,46.04533418,60,69,GOL_23,GOL_29,60_69,GOL_23_GOL_29
371,golden-63,golden-82,gogo,0,-0.0564,0,-0.042,-0.0433,-0.0635,0,63,82,63,82,63_82,56.04662303,63,82,GOL_25,GOL_37,63_82,GOL_25_GOL_37
392,golden-65,golden-84,gogo,0,-0.0569,0,-0.0414,-0.043,-0.0338,0,65,84,65,84,65_84,7.560404864,65,84,GOL_26,GOL_39,65_84,GOL_26_GOL_39
280,golden-56,golden-81,gogo,0,-0.0571,0,-0.073,-0.0734,-0.0766,0,56,81,56,81,56_81,28.52041348,56,81,GOL_19,GOL_37,56_81,GOL_19_GOL_37
579,grunt-128,grunt-180,grgr,0,-0.0573,0,-0.059,-0.06,-0.0428,0,128,180,128,180,128_180,16.39035389,128,180,GRU_12,GRU_27,128_180,GRU_12_GRU_27
76,golden-32,golden-60,gogo,0,-0.0574,0,-0.0915,-0.0903,-0.0941,0,32,60,32,60,32_60,64.61996058,32,60,GOL_11,GOL_23,32_60,GOL_11_GOL_23
171,golden-52,golden-73,gogo,0,-0.0574,0,-0.0854,-0.085,-0.0995,0,52,73,52,73,52_73,12.00840799,52,73,GOL_18,GOL_33,52_73,GOL_18_GOL_33
439,golden-73,grunt-156,gogr,0,-0.0574,0,-0.0552,-0.0565,-0.0584,0,73,156,73,156,73_156,69.34260849,73,156,GOL_33,GRU_18,73_156,GOL_33_GRU_18
377,golden-63,grunt-124,gogr,0,-0.0575,0,-0.0115,-0.0123,-0.0351,0,63,124,63,124,63_124,70.85106868,63,124,GOL_25,GRU_11,63_124,GOL_25_GRU_11
593,grunt-161,grunt-180,grgr,0,-0.0576,0,-0.0643,-0.0651,-0.0499,0,161,180,161,180,161_180,5.41948854,161,180,GRU_21,GRU_27,161_180,GRU_21_GRU_27
225,golden-55,golden-69,gogo,0,-0.0578,0,-0.0869,-0.0866,-0.0732,0,55,69,55,69,55_69,112.1994872,55,69,GOL_19,GOL_29,55_69,GOL_19_GOL_29
5,curlew-225,golden-52,cugo,0,-0.058,0,-0.1257,-0.1207,-0.1177,0,225,52,52,225,52_225,2356.829751,52,225,GOL_18,CUR_02,52_225,GOL_18_CUR_02
223,golden-55,golden-63,gogo,0,-0.0584,0,-0.0703,-0.0711,-0.0776,0,55,63,55,63,55_63,74.72200473,55,63,GOL_19,GOL_25,55_63,GOL_19_GOL_25
305,golden-59,golden-82,gogo,0,-0.0587,0,-0.0421,-0.0436,-0.0413,0,59,82,59,82,59_82,6.37923289,59,82,GOL_22,GOL_37,59_82,GOL_22_GOL_37
558,grunt-104,grunt-180,grgr,0,-0.059,0,-0.0406,-0.0424,-0.0292,0,104,180,104,180,104_180,10.13368271,104,180,GRU_08,GRU_27,104_180,GRU_08_GRU_27
372,golden-63,golden-84,gogo,0,-0.0595,0,-0.0497,-0.0511,-0.0647,0,63,84,63,84,63_84,32.26386959,63,84,GOL_25,GOL_39,63_84,GOL_25_GOL_39
436,golden-73,grunt-128,gogr,0,-0.0596,0,-0.0664,-0.0674,-0.0609,0,73,128,73,128,73_128,70.45819098,73,128,GOL_33,GRU_12,73_128,GOL_33_GRU_12
545,grunt-103,grunt-133,grgr,0,-0.0596,0,-0.07,-0.0707,-0.0694,0,103,133,103,133,103_133,29.88054999,103,133,GRU_07,GRU_14,103_133,GRU_07_GRU_14
240,golden-55,grunt-137,gogr,0,-0.0604,0,-0.1041,-0.1019,-0.0959,0,55,137,55,137,55_137,99.35090993,55,137,GOL_19,GRU_15,55_137,GOL_19_GRU_15
58,golden-114,grunt-104,gogr,0,-0.061,0,-0.0641,-0.065,-0.0665,0,114,104,104,114,104_114,63.91527034,104,114,GRU_08,GOL_46,104_114,GRU_08_GOL_46
292,golden-56,grunt-156,gogr,0,-0.0612,0,-0.0517,-0.0533,-0.0556,0,56,156,56,156,56_156,87.06937939,56,156,GOL_19,GRU_18,56_156,GOL_19_GRU_18
148,golden-44,golden-86,gogo,0,-0.0614,0,-0.0718,-0.0727,-0.0758,0,44,86,44,86,44_86,97.88505471,44,86,GOL_13,GOL_41,44_86,GOL_13_GOL_41
316,golden-59,grunt-156,gogr,0,-0.0617,0,-0.0466,-0.0484,-0.0411,0,59,156,59,156,59_156,61.90827289,59,156,GOL_22,GRU_18,59_156,GOL_22_GRU_18
344,golden-62,golden-65,gogo,0,-0.0621,0,-0.0305,-0.032,-0.0212,0,62,65,62,65,62_65,20.27067647,62,65,GOL_24,GOL_26,62_65,GOL_24_GOL_26
511,golden-84,grunt-128,gogr,0,-0.0621,0,-0.0811,-0.0811,-0.0728,0,84,128,84,128,84_128,83.34147108,84,128,GOL_39,GRU_12,84_128,GOL_39_GRU_12
111,golden-42,golden-69,gogo,0,-0.063,0,-0.0487,-0.0507,-0.054,0,42,69,42,69,42_69,90.91586795,42,69,GOL_13,GOL_29,42_69,GOL_13_GOL_29
169,golden-52,golden-65,gogo,0,-0.0631,0,-0.0733,-0.0743,-0.0827,0,52,65,52,65,52_65,94.32841556,52,65,GOL_18,GOL_26,52_65,GOL_18_GOL_26
