ind_id,Sponge_width_cm,Depth,Group_size,TL_mm,Rank,mt_lineage,nc_lineage,Sponge_id,S_species,S_colour,Reef,AVG.TL_mm,is_male,egg_count,eggs,age
Risor_016,24.8755034,8.2,10,13.38,8,NA,NA,GOL_03,Ircinia strobilina,Dark,GOL,15.633,0,60,1,NA
Risor_017,24.8755034,8.2,10,12.69,9,NA,NA,GOL_03,Ircinia strobilina,Dark,GOL,15.633,0,0,0,NA
Risor_018,24.8755034,8.2,10,11.94,10,NA,NA,GOL_03,Ircinia strobilina,Dark,GOL,15.633,0,0,0,NA
Risor_019,12.89029012,7.3,1,14.8,1,NA,NA,GOL_04,Ircinia strobilina,Dark,GOL,14.8,0,70,1,NA
Risor_020,15.63843681,7,1,16.9,1,2,NA,GOL_05,Ircinia felix,Medium,GOL,16.9,0,0,0,NA
Risor_021,28.50862823,8.8,2,13.05,1,NA,1,GOL_06,Ircinia strobilina,Dark,GOL,10.725,0,0,0,NA
Risor_022,28.50862823,8.8,2,8.4,2,NA,NA,GOL_06,Ircinia strobilina,Dark,GOL,10.725,na,0,0,NA
Risor_023,15.2737683,7.3,1,9.76,1,2,NA,GOL_07,Ircinia ruetzleri,Light,GOL,9.76,0,0,0,NA
Risor_026,20.74014879,6.1,2,17.07,2,NA,NA,GOL_09,Ircinia strobilina,Medium,GOL,18.265,1,0,0,NA
Risor_027,20.74014879,6.1,2,19.46,1,NA,NA,GOL_09,Ircinia strobilina,Medium,GOL,18.265,0,100,1,NA
Risor_028,21.57833088,5.5,1,11.71,1,2,NA,GOL_10,Ircinia campana,Medium,GOL,11.71,0,0,0,NA
Risor_032,37.26887744,5.4,5,13.43,5,2,2,GOL_11,Ircinia campana,Medium,GOL,16.982,0,0,0,NA
Risor_029,37.26887744,5.4,5,19.04,2,2,NA,GOL_11,Ircinia campana,Medium,GOL,16.982,1,0,0,NA
Risor_030,37.26887744,5.4,5,19.27,1,2,NA,GOL_11,Ircinia campana,Medium,GOL,16.982,1,0,0,NA
Risor_031,37.26887744,5.4,5,18.7,3,2,NA,GOL_11,Ircinia campana,Medium,GOL,16.982,0,180,1,NA
Risor_033,37.26887744,5.4,5,14.47,4,2,NA,GOL_11,Ircinia campana,Medium,GOL,16.982,0,0,0,NA
Risor_034,39.19804144,6.3,7,14.68,3,2,NA,GOL_12,Ircinia campana,Medium,GOL,13.45,0,0,0,39
Risor_035,39.19804144,6.3,7,19.67,1,2,NA,GOL_12,Ircinia campana,Medium,GOL,13.45,0,0,0,80
Risor_036,39.19804144,6.3,7,16.79,2,2,NA,GOL_12,Ircinia campana,Medium,GOL,13.45,0,0,0,49
Risor_037,39.19804144,6.3,7,13.19,4,2,NA,GOL_12,Ircinia campana,Medium,GOL,13.45,0,0,0,39
Risor_038,39.19804144,6.3,7,12.18,5,2,NA,GOL_12,Ircinia campana,Medium,GOL,13.45,0,0,0,49
Risor_039,39.19804144,6.3,7,8.99,6,2,NA,GOL_12,Ircinia campana,Medium,GOL,13.45,na,0,0,29
Risor_040,39.19804144,6.3,7,8.65,7,2,NA,GOL_12,Ircinia campana,Medium,GOL,13.45,na,0,0,37
Risor_042,34.24099068,6,4,14.12,2,2,2,GOL_13,Ircinia campana,Light,GOL,14.7,0,0,0,NA
Risor_044,34.24099068,6,4,12.76,3,2,2,GOL_13,Ircinia campana,Light,GOL,14.7,0,0,0,NA
Risor_041,34.24099068,6,4,20.33,1,2,NA,GOL_13,Ircinia campana,Light,GOL,14.7,1,0,0,NA
Risor_043,34.24099068,6,4,11.59,4,3,NA,GOL_13,Ircinia campana,Light,GOL,14.7,na,0,0,NA
Risor_046,12.42399681,8.5,1,10.24,1,2,NA,GOL_15,Ircinia campana,Medium,GOL,10.24,0,0,0,NA
Risor_047,26.03657684,7.8,2,16,1,2,NA,GOL_16,Ircinia felix,Medium,GOL,14.73,0,80,1,NA
Risor_048,26.03657684,7.8,2,13.46,2,2,NA,GOL_16,Ircinia felix,Medium,GOL,14.73,0,0,0,NA
Risor_049,15.02015024,7.6,2,10.71,1,NA,NA,GOL_17,Ircinia felix,Medium,GOL,10.035,0,0,0,NA
Risor_050,15.02015024,7.6,2,9.36,2,2,NA,GOL_17,Ircinia felix,Medium,GOL,10.035,na,0,0,NA
Risor_052,19.46285155,7.8,4,14.9,1,2,3,GOL_18,Ircinia felix,Medium,GOL,12.89,0,0,0,NA
Risor_051,19.46285155,7.8,4,13.88,2,2,NA,GOL_18,Ircinia felix,Medium,GOL,12.89,0,0,0,NA
Risor_053,19.46285155,7.8,4,12.24,3,2,NA,GOL_18,Ircinia felix,Medium,GOL,12.89,0,0,0,NA
Risor_054,19.46285155,7.8,4,10.54,4,2,NA,GOL_18,Ircinia felix,Medium,GOL,12.89,0,0,0,NA
Risor_056,25.02033906,8.8,2,13.19,2,2,2,GOL_19,Ircinia campana,Dark,GOL,16.105,0,0,0,NA
Risor_055,25.02033906,8.8,2,19.02,1,2,3,GOL_19,Ircinia campana,Dark,GOL,16.105,0,0,0,NA
Risor_057,25.43088672,8.2,1,13.47,1,2,NA,GOL_20,Ircinia felix,Light,GOL,13.47,0,0,0,NA
Risor_058,28.730781,8.5,1,17.77,1,2,NA,GOL_21,Ircinia campana,Medium,GOL,17.77,0,120,1,NA
Risor_059,18.68065211,8.8,1,13.28,1,2,2,GOL_22,Ircinia strobilina,Dark,GOL,13.28,0,0,0,NA
Risor_060,40.52303141,6.6,2,14.51,2,2,2,GOL_23,Ircinia campana,Medium,GOL,14.765,0,0,0,NA
Risor_061,40.52303141,6.6,2,15.02,1,2,NA,GOL_23,Ircinia campana,Medium,GOL,14.765,0,57,1,NA
Risor_062,17.91645312,6.6,1,16.14,1,2,2,GOL_24,Ircinia felix,Light,GOL,16.14,0,0,0,NA
Risor_064,13.89119206,6.3,2,14.05,2,2,1,GOL_25,Ircinia felix,Light,GOL,15.685,1,0,0,NA
Risor_063,13.89119206,6.3,2,17.32,1,2,2,GOL_25,Ircinia felix,Light,GOL,15.685,1,0,0,NA
Risor_065,18.63752232,5.8,2,13.24,1,2,2,GOL_26,Ircinia felix,Light,GOL,11.26,0,0,0,NA
Risor_066,18.63752232,5.8,2,9.28,2,2,NA,GOL_26,Ircinia felix,Light,GOL,11.26,na,0,0,NA
